Chinese,Pinyin,English
电视剧,Diànshìjù,TV drama
电影,Diànyǐng,movie
综艺(节目),Zōngyì (jiémù),variety show
真人秀,Zhēnrén xiù,reality show
电话片,Diànhuà piàn,cartoon
卡通,Kǎtōng,cartoon
纪录片,Jìlùpiàn,documentary
新闻节目,Xīnwén jiémù,news program
脱口秀,Tuōkǒu xiù,stand up comedy
音乐(类)节目,Yīnyuè (lèi) jiémù,music (type/category/kind) show
游戏节目,Yóuxì jiémù,game show
主持人,Zhǔchí rén,host / presenter
嘉宾,Jiābīn,guest
观众,Guānzhòng,audience
演员,Yǎnyuán,actor / actress
导演,Dǎoyǎn,director
编剧,Biānjù,screenwriter
剧本,Jùběn,script/screenplay
拍摄,Pāishè,to film/to shoot
剪辑,Jiǎnjí,to edit (video)
配音,Pèiyīn,dubbing / voice acting
特效,Tèxiào,special effects
音效,Yīnxiào,sound effects
镜头,Jìngtóu,camera shot / scene
画面,Huàmiàn,"visual / image, a screen / surface you are seeing (e.g. in a show, you see people hugging under the tree in sunset)"
上映,Shàngyìng,"to release (film), in theater, for the movie itself"
首映,Shǒu yìng,premiere
票房,Piàofáng,"ticket sales, the amount of money that the movie is making"
评分,Píngfēn,rating / score (outside of exams)
评论,Pínglùn,"comment / review, both noun and verb"
热门,Rèmén,popular / trending
剧情,Jùqíng,plot / storyline
角色,Juésè,role / character
主角,Zhǔjiǎo,main character
配角,Pèijiǎo,supporting role
片段,Piànduàn,clip / segment
预告片,Yùgào piàn,trailer
海报,Hǎibào,poster
会员,Huìyuán,member / subscription user
网居,Wǎng jū,web series
网综,Wǎng zōng,online variety show
观看,Guānkàn,to watch
欣赏,Xīnshǎng,appreciate (can also appreciate a person's quality) / enjoy (art)
推荐,Tuījiàn,to reommend
下载,Xiàzài,to download
投票,Tóupiào,to vote (for contestant)
支持,Zhīchí,to support
追剧,Zhuī jù,to follow a TV series
偶像,Ǒuxiàng,idol
粉丝,Fěnsī,fan
弹幕,Dàn mù,live comments on screen
冷门,Lěngmén,"niche, unknown, small group"

